#    Energy(eV)          A (Ang)          B (Ang)          C (Ang)     Vol. (Ang^3)
    -11.26126914      4.10000000       4.10000000       4.10000000      68.92000000
    -11.29491743      4.13000000       4.13000000       4.13000000      70.44000000
    -11.29845196      4.13500000       4.13500000       4.13500000      70.70000000
    -11.30136999      4.14000000       4.14000000       4.14000000      70.96000000
    -11.30374576      4.14500000       4.14500000       4.14500000      71.22000000
    -11.30555597      4.15000000       4.15000000       4.15000000      71.47000000
    -11.30688443      4.15500000       4.15500000       4.15500000      71.73000000
    -11.30761334      4.16000000       4.16000000       4.16000000      71.99000000
    -11.30783536      4.16500000       4.16500000       4.16500000      72.25000000
    -11.30748807      4.17000000       4.17000000       4.17000000      72.51000000
    -11.30670830      4.17500000       4.17500000       4.17500000      72.77000000
    -11.30541709      4.18000000       4.18000000       4.18000000      73.03000000
    -11.30361423      4.18500000       4.18500000       4.18500000      73.30000000
    -11.30129398      4.19000000       4.19000000       4.19000000      73.56000000
    -11.29531177      4.20000000       4.20000000       4.20000000      74.09000000
